
    Row    Instance         XX         YY         ZZ         TT         TY 

        0         1  -0.000377  0.0078386  -7.10e-05  1.4486213          1 
        0         2  -0.000308  0.0039843  -0.000103  0.0522515          4 
        0         3  -0.000360  0.0041397  -0.000151  0.0628011          4 
        0         4  -0.000226  0.0042950  -0.000174  0.0912222          4 
        0         5  -0.000195  0.0044117  -6.55e-05  0.1046067          4 
        0         6  -0.000212  0.0045476  -2.24e-06  0.1605288          4 
        0         7  -0.000208  0.0047194  -8.94e-06  0.1681210          4 
        0         8  -0.000375  0.0048314  0.0002644  0.2193396          4 
        0         9  -0.000615  0.0049296  0.0003587  0.2588908          4 
        0        10  -0.000414  0.0051718  0.0007296  0.3264616          4 
        0        11  -0.000420  0.0052354  0.0008648  0.3631769          4 
        0        12  -0.000373  0.0054406  0.0007919  0.3987669          4 
        0        13  -0.000649  0.0055432  0.0006394  0.4296496          4 
        0        14  -0.000842  0.0057256  0.0005614  0.4824693          4 
        0        15  -0.000732  0.0058536  0.0005799  0.4941775          4 
        0        16  -0.000572  0.0060642  0.0007704  0.5576304          4 
        0        17  -0.000631  0.0061736  0.0002491  0.6979776          4 
        0        18  -0.000448  0.0064066  0.0001608  0.7673892          4 
        0        19  -0.000522  0.0065646  0.0002016  0.8006193          4 
        0        20  -0.001129  0.0067223  0.0005530  0.9421181          4 
        0        21  -0.001048  0.0068819  0.0003621  0.9900292          4 
        0        22  -0.000663  0.0071698  0.0001778  1.0862956          4 
        0        23  -0.000627  0.0073248  0.0001397  1.0986421          4 
        0        24  -0.000629  0.0075262  -9.82e-05  1.2861720          4 
        0        25  -0.000279  0.0080409  -0.000161  1.4983652          4 
        0        26  -0.000221  0.0081110  -0.000266  1.4947551          4 
        0        27  1.807e-05  0.0082653  -7.57e-05  1.5325987          4 
        0        28  2.662e-05  0.0085253  -0.000326  1.5691812          4 
        0        29  -0.000128  0.0083787  -0.000129  1.6865240          4 
        0        30  -0.000223  0.0087067  -3.17e-05  1.7306828          4 
        0        31  0.0004477  0.0088093  -0.000794  1.7542259          4 
        0        32  -7.94e-05  0.0088960  -0.000125  1.7744270          4 
        0        33  -0.000123  0.0091866  -0.000243  1.8078272          4 
        0        34  0.0001207  0.0090634  -0.000736  1.9212704          4 
        0        35  0.0001611  0.0093249  -0.000945  1.9841097          4 
        0        36  -0.000550  0.0094791  -4.79e-05  2.1858730          4 
        0        37  6.694e-05  0.0095431  -0.000750  2.1015939          4 
        0        38  0.0001535  0.0098202  -0.000718  2.1531529          4 
        0        39  -0.000107  0.0097597  -0.000527  2.3404002          4 
        0        40  -2.18e-05  0.0102163  -0.000531  2.2808816          4 
        0        41  7.152e-05  0.0100626  -8.88e-06  2.5317192          4 
        0        42  -0.000290  0.0104785  -0.000341  2.3712637          4 
        0        43  -0.000268  0.0103485  0.0002459  2.6226429          4 
        0        44  -0.000402  0.0108280  0.0001500  2.4828083          4 
        0        45  4.762e-05  0.0106448  0.0001292  2.6678028          4 
        0        46  -0.000393  0.0111092  0.0002428  2.5598893          4 
        0        47  9.661e-05  0.0109565  0.0001053  2.7697441          4 
