pressure might be 3.3 bara, gas density 0.137 mol/l, factor=1.0 is operation voltage dv=10kV, anode wire (plane woven, pitch 2.5mm diameter 100 um), gate wire (plane woven, pitch 5mm diameter 75 um), distance 13mm; and this is calucalating ionization around gate wire. 
# Ionization	Probabilty Ioinzation
0	0
1	0.0517395
2	0.0524086
3	0.0504014
4	0.043711
5	0.0486173
6	0.0510705
7	0.04438
8	0.0385816
9	0.0365745
10	0.0399197
11	0.0363515
12	0.0350134
13	0.0332293
14	0.0379126
15	0.0303301
16	0.0272078
17	0.0276539
18	0.0269848
19	0.0225245
20	0.0189563
21	0.0200714
22	0.0187333
23	0.0160571
24	0.014942
25	0.0129349
26	0.014942
27	0.0129349
28	0.0113738
29	0.0118198
30	0.0109277
31	0.00646744
32	0.00713649
33	0.00892061
34	0.00892061
35	0.00490633
36	0.00780553
37	0.0044603
38	0.00379126
39	0.00490633
40	0.00334523
41	0.00267618
42	0.00267618
43	0.0044603
44	0.00267618
45	0.00200714
46	0.00245317
47	0.00178412
48	0.00267618
49	0.00133809
50	0.000892061
51	0.000669045
52	0.00223015
53	0.00200714
54	0.00200714
55	0.00245317
56	0.00111508
57	0.00044603
58	0.000892061
59	0.000669045
60	0.000223015
61	0
62	0.000892061
63	0
64	0
65	0.00044603
66	0
67	0.000223015
68	0.000223015
69	0.000223015
70	0.000892061
71	0.000223015
72	0.000223015
73	0.000223015
74	0.000223015
75	0.000223015
76	0.000223015
77	0.000223015
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0.000223015
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
